CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual;PrazoProducao
30.10.30.16.0035;FITA PP HM 45 TR 072X050 - M;50;72;3,6;;3,45844208;Fita PP;33;10
30.10.30.16.0036;FITA PP HM 45 TR 072X100 - M;100;72;7,2;;6,739915824;Fita PP;33;10
30.10.30.16.0037;FITA PP HM 45 TR 072X1200 - M;1200;72;86,4;;79,25721752;Fita PP;33;10
30.10.30.16.0038;FITA PP HM 45 TR 096X100 - M;100;96;9,6;;8,984466432;Fita PP;33;10
30.10.30.16.0041;FITA PP HM 45 TR 144X1200 - M;1200;144;172,8;;152,9448483;Fita PP;33;10
30.10.30.16.0052;FITA PP HM 45 TR 036X100 - PERSONALIZADA;100;36;3,6;;3,369957912;Fita PP;33;10
30.10.30.16.0055;FITA PP HM 45 TR 048X050 - PERSONALIZADA;50;48;2,4;;2,241774136;Fita PP;33;10
30.10.30.16.0057;FITA PP HM 45 TR 048X100 - PERSONALIZADA;100;48;4,8;;4,366613381;Fita PP;33;10
30.10.30.16.0059;FITA PP HM 45 TR 048X1200 - PERSONALIZADA;1200;48;57,6;;50,98161609;Fita PP;33;10
30.10.30.16.0062;FITA PP HM 45 TR 072X050 - PERSONALIZADA;50;72;3,6;;3,45844208;Fita PP;33;10
30.10.30.16.0064;FITA PP HM 45 TR 048X1000 - PERSONALIZADA;1000;48;48;;42,55722336;Fita PP;33;10
30.10.30.16.0065;FITA PP HM 45 TR 048X1500 - PERSONALIZADA;1500;48;72;;63,61820518;Fita PP;33;10
30.10.30.16.0073;FITA PP HM 45 TR 018X100 - M;100;18;1,8;;1,684978956;Fita PP;33;10
30.10.10.16.0114;FITA PP AR9 45 HA 144X100 - M;100;144;14,4;;11,3545371;Fita PP;33;10
30.10.10.12.0071;FITA PP AA 40 TR 024X040 - M;40;24;0,96;;0,661506111;Fita PP;33;10
30.10.10.13.0088;FITA PP AR9 45 AM 096X100 - M;100;96;9,6;;7,820931072;Fita PP;33;10
30.10.10.15.0106;FITA PP AR9 45 BR 072X100 - M;100;72;7,2;;5,867264304;Fita PP;33;10
30.10.10.12.0154 ;FITA PP AA 40 TR 012X200 – M;200;12;2,4;;1,534230378;Fita PP;33;10
30.10.30.14.0084;FITA PP HM 45 BR 144X1200 - M;1200;144;172,8;;167,8609443;Fita PP;33;10
30.10.10.21.0204;FITA PP AR9 45 VM 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.11.0044;FITA PP AA 40 HA 048X045 - PERSONALIZADA;45;48;2,16;;1,415544012;Fita PP;33;10
30.10.10.14.0085;FITA PP AR9 45 AZ 096X100 - M;100;96;9,6;;7,820931072;Fita PP;33;10
30.10.10.12.0145;FITA PP AA 40 TR 192X100 - M;100;192;19,2;;12,50968166;Fita PP;33;10
30.10.10.13.0072;FITA PP AR9 45 AM 024X100 - M;100;24;2,4;;1,955754768;Fita PP;33;10
30.10.20.13.0287;FITA PP AS 50 TR 072X1000 - M;1000;72;72;;82,06067724;Fita PP;33;10
30.10.10.19.0196;FITA PP AR9 45 VD 024X100 - M;100;24;2,4;;1,955754768;Fita PP;33;10
30.10.10.12.0156;FITA PP AA 40 TR 245X1200 - M;1200;245;294;;186,2690347;Fita PP;33;10
30.10.10.12.0045;FITA PP AA 40 TR 048X1000 - M;1000;48;48;;28,90909536;Fita PP;33;10
30.10.10.12.0077;FITA PP AA 40 TR 072X080 - M;80;72;5,76;;3,792068332;Fita PP;33;10
30.10.10.16.0141;FITA PP AR9 45 HA 072X090 - M;90;72;6,48;;5,29949339;Fita PP;33;10
30.10.30.13.0083;FITA PP HM 40 TR 036X1200 - M;1200;36;43,2;;36,25900876;Fita PP;33;10
30.10.10.18.0174;FITA PP AR9 45 TR 096X1200 - M;1200;96;115,2;;83,83588896;Fita PP;33;10
