CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual
30.20.10.68.0004;"STRETCH FIL. 3""500X17 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,270307078;Stretch;12
30.20.10.68.0005;"STRETCH FIL. 3""500X30 MAN LEV NOVO (4,85)";KG;Bruto;0,6;4,85;6,234051098;Stretch;12
30.20.10.68.0006;"STRETCH FIL. 3""500X15 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,60985502;Stretch;12
30.20.10.68.0007;"STRETCH FIL. 3""500X40 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,137108973;Stretch;12
30.20.10.68.0008;"STRETCH FIL. 3""500X19 MAN LEV NOVO (2,5KG)";KG;Bruto;0,6;2,5;6,182484152;Stretch;12
30.20.10.69.0001;"STRETCH FIL. 3""500X19 MAN LEV LIQUIDO NOVO";KG;Liq;0,6;4,9;6,280478622;Stretch;12
30.20.10.69.0002;"STRETCH FIL. 3""500X23 MAN LEV LIQUIDO NOVO";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.69.0003;"STRETCH FIL. 3""500X30 MAN LEV LIQUIDO NOVO";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.69.0004;"STRETCH FIL. 3""500X17 MAN LEV LIQUIDO NOVO";KG;Liq;0,6;4,9;6,368301549;Stretch;12
30.20.10.69.0005;"STRETCH FIL. 3""500X15 MAN LEV LIQUIDO NOVO";KG;Liq;0,6;4,9;6,70784949;Stretch;12
30.20.10.70.0001;"STRETCH FIL. 3""500X19 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,765496709;Stretch;12
30.20.10.70.0002;"STRETCH FIL. 3""500X23 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,72012153;Stretch;12
30.20.10.70.0003;"STRETCH FIL. 3""500X30 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,72012153;Stretch;12
30.20.10.70.0004;"STRETCH FIL. 3""500X15 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;6,192867577;Stretch;12
30.20.10.70.0005;"STRETCH FIL. 3""500X17 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,853319635;Stretch;12
30.20.10.70.0006;"STRETCH FIL. 3""500X40 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,72012153;Stretch;12
30.20.10.70.0007;"STRETCH FIL. 3""500X70 MAQ LC3/10 NOVO";KG;Bruto;1,47;10;5,72012153;Stretch;12
30.20.10.71.0001;"STRETCH FIL. 3""500X19 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,87538634;Stretch;12
30.20.10.71.0002;"STRETCH FIL. 3""500X23 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,830011161;Stretch;12
30.20.10.71.0003;"STRETCH FIL. 3""500X30 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,830011161;Stretch;12
30.20.10.71.0004;"STRETCH FIL. 3""500X15 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;6,302757208;Stretch;12
30.20.10.71.0005;"STRETCH FIL. 3""500X17 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,963209266;Stretch;12
30.20.10.71.0006;"STRETCH FIL. 3""500X40 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,830011161;Stretch;12
30.20.10.71.0007;"STRETCH FIL. 3""500X35 MAQ ATX/10 NOVO";KG;Bruto;1,47;10;5,830011161;Stretch;12
30.20.10.72.0001;"STRETCH FIL. 3""500X23 MAQ ATX/14 B PLUS";KG;Bruto;1,47;14;5,998796005;Stretch;12
30.20.10.72.0002;"STRETCH FIL. 3""500X30 MAQ ATX/14 B PLUS";KG;Bruto;1,47;14;5,998796005;Stretch;12
30.20.10.73.0001;"STRETCH FIL. 3""500X23 MAQ ATX/11 PLUS";KG;Bruto;1,47;11;5,922261931;Stretch;12
30.20.10.74.0001;"STRETCH FIL. 3""500X23 MAQ ATX/14 LÍQUIDO PLUS";KG;Liq;1,47;14;5,998796005;Stretch;12
