CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.10.30.13.0122;FITA PP HM 40 TR 048X050 - PERSONALIZADA;50;48;2,4;;2,08973452;Fita PP
30.10.30.13.0125;FITA PP HM 40 TR 048X100 - PERSONALIZADA;100;48;4,8;;4,062534149;Fita PP
30.10.30.13.0131;FITA PP HM 40 TR 072X100 - PERSONALIZADA;100;72;7,2;;6,283796976;Fita PP
30.10.30.13.0139;FITA PP HM 40 TR 048X300 - M ;300;48;14,4;;11,94845452;Fita PP
30.10.30.15.0003;FITA PP HM 45 HA 024X100 - M;100;24;2,4;;2,264478672;Fita PP
30.10.30.15.0005;FITA PP HM 45 HA 048X100 - M;100;48;4,8;;4,402293509;Fita PP
30.10.30.15.0006;FITA PP HM 45 HA 048X1200 - M;1200;48;57,6;;51,40977762;Fita PP
30.10.30.15.0008;FITA PP HM 45 HA 072X100 - M;100;72;7,2;;6,793436016;Fita PP
30.10.30.15.0010;FITA PP HM 45 HA 072X1200 - M;1200;72;86,4;;79,89945982;Fita PP
30.10.30.15.0012;FITA PP HM 45 HA 048X050 - M;50;48;2,4;;2,2596142;Fita PP
30.10.30.15.0015;FITA PP HM 45 HA 096X100 - M;100;96;9,6;;9,055826688;Fita PP
30.10.30.15.0018;FITA PP HM 45 HA 048X050 - PERSONALIZADA;50;48;2,4;;2,2596142;Fita PP
30.10.30.15.0020;FITA PP HM 45 HA 048X100 - PERSONALIZADA;100;48;4,8;;4,402293509;Fita PP
30.10.30.15.0022;FITA PP HM 45 HA 048X1200 - PERSONALIZADA;1200;48;57,6;;51,40977762;Fita PP
30.10.30.15.0024;FITA PP HM 45 HA 072X100 - PERSONALIZADA;100;72;7,2;;6,793436016;Fita PP
30.10.30.15.0025;FITA PP HM 45 HA 048X090 - PERSONALIZADA;90;48;4,32;;3,974596769;Fita PP
30.10.30.16.0026;FITA PP HM 45 TR 036X100 - M;100;36;3,6;;3,396718008;Fita PP
30.10.30.16.0027;FITA PP HM 45 TR 036X1200 - M;1200;36;43,2;;39,94972991;Fita PP
30.10.30.16.0028;FITA PP HM 45 TR 048X050 - M;50;48;2,4;;2,2596142;Fita PP
30.10.30.16.0035;FITA PP HM 45 TR 072X050 - M;50;72;3,6;;3,485202176;Fita PP
30.10.30.16.0036;FITA PP HM 45 TR 072X100 - M;100;72;7,2;;6,793436016;Fita PP
30.10.30.16.0037;FITA PP HM 45 TR 072X1200 - M;1200;72;86,4;;79,89945982;Fita PP
30.10.30.16.0038;FITA PP HM 45 TR 096X100 - M;100;96;9,6;;9,055826688;Fita PP
30.10.30.16.0041;FITA PP HM 45 TR 144X1200 - M;1200;144;172,8;;154,2293329;Fita PP
30.10.30.16.0052;FITA PP HM 45 TR 036X100 - PERSONALIZADA;100;36;3,6;;3,396718008;Fita PP
30.10.30.16.0055;FITA PP HM 45 TR 048X050 - PERSONALIZADA;50;48;2,4;;2,2596142;Fita PP
30.10.30.16.0057;FITA PP HM 45 TR 048X100 - PERSONALIZADA;100;48;4,8;;4,402293509;Fita PP
30.10.30.16.0059;FITA PP HM 45 TR 048X1200 - PERSONALIZADA;1200;48;57,6;;51,40977762;Fita PP
30.10.30.16.0062;FITA PP HM 45 TR 072X050 - PERSONALIZADA;50;72;3,6;;3,485202176;Fita PP
30.10.30.16.0064;FITA PP HM 45 TR 048X1000 - PERSONALIZADA;1000;48;48;;42,91402464;Fita PP
30.10.30.16.0065;FITA PP HM 45 TR 048X1500 - PERSONALIZADA;1500;48;72;;64,1534071;Fita PP
30.10.30.16.0073;FITA PP HM 45 TR 018X100 - M;100;18;1,8;;1,698359004;Fita PP
30.10.10.16.0114;FITA PP AR9 45 HA 144X100 - M;100;144;14,4;;8,501213392;Fita PP
30.10.10.12.0071;FITA PP AA 40 TR 024X040 - M;40;24;0,96;;0,558582645;Fita PP
30.10.10.13.0088;FITA PP AR9 45 AM 096X100 - M;100;96;9,6;;6,501426432;Fita PP
30.10.10.15.0106;FITA PP AR9 45 BR 072X100 - M;100;72;7,2;;4,877635824;Fita PP
30.10.10.12.0154 ;FITA PP AA 40 TR 012X200 – M;200;12;2,4;;1,276921712;Fita PP
30.10.30.14.0084;FITA PP HM 45 BR 144X1200 - M;1200;144;172,8;;168,9069372;Fita PP
30.10.10.21.0204;FITA PP AR9 45 VM 048X050 - M;50;48;2,4;;1,621014136;Fita PP
30.10.10.11.0044;FITA PP AA 40 HA 048X045 - PERSONALIZADA;45;48;2,16;;1,183966213;Fita PP
30.10.10.14.0085;FITA PP AR9 45 AZ 096X100 - M;100;96;9,6;;6,501426432;Fita PP
30.10.10.12.0145;FITA PP AA 40 TR 192X100 - M;100;192;19,2;;10,45121234;Fita PP
30.10.10.13.0072;FITA PP AR9 45 AM 024X100 - M;100;24;2,4;;1,625878608;Fita PP
30.10.20.13.0287;FITA PP AS 50 TR 072X1000 - M;1000;72;72;;66,77333702;Fita PP
30.10.10.19.0196;FITA PP AR9 45 VD 024X100 - M;100;24;2,4;;1,625878608;Fita PP
30.10.10.12.0156;FITA PP AA 40 TR 245X1200 - M;1200;245;294;;154,7487231;Fita PP
30.10.10.12.0045;FITA PP AA 40 TR 048X1000 - M;1000;48;48;;23,76292205;Fita PP
30.10.10.12.0077;FITA PP AA 40 TR 072X080 - M;80;72;5,76;;3,174527535;Fita PP
